Date,WIKI/MMM - Adj. Close,WIKI/ABT - Adj. Close,WIKI/ABBV - Adj. Close,WIKI/ACN - Adj. Close,WIKI/ATVI - Adj. Close,WIKI/AYI - Adj. Close,WIKI/ADBE - Adj. Close,WIKI/AAP - Adj. Close,WIKI/AES - Adj. Close,WIKI/AET - Adj. Close,WIKI/AMG - Adj. Close,WIKI/AFL - Adj. Close,WIKI/A - Adj. Close,WIKI/APD - Adj. Close,WIKI/AKAM - Adj. Close,WIKI/ALK - Adj. Close,WIKI/ALB - Adj. Close,WIKI/ALXN - Adj. Close,WIKI/ALLE - Adj. Close,WIKI/AGN - Adj. Close,WIKI/ADS - Adj. Close,WIKI/LNT - Adj. Close,WIKI/ALL - Adj. Close,WIKI/GOOGL - Adj. Close,WIKI/GOOG - Adj. Close,WIKI/MO - Adj. Close,WIKI/AMZN - Adj. Close,WIKI/AEE - Adj. Close,WIKI/AAL - Adj. Close,WIKI/AEP - Adj. Close,WIKI/AXP - Adj. Close,WIKI/AIG - Adj. Close,WIKI/AMT - Adj. Close,WIKI/AWK - Adj. Close,WIKI/AMP - Adj. Close,WIKI/ABC - Adj. Close,WIKI/AME - Adj. Close,WIKI/AMGN - Adj. Close,WIKI/APH - Adj. Close,WIKI/APC - Adj. Close,WIKI/ADI - Adj. Close,WIKI/ANTM - Adj. Close,WIKI/AON - Adj. Close,WIKI/APA - Adj. Close,WIKI/AIV - Adj. Close,WIKI/AAPL - Adj. Close,WIKI/AMAT - Adj. Close,WIKI/ADM - Adj. Close,WIKI/ARNC - Adj. Close,WIKI/AJG - Adj. Close,WIKI/AIZ - Adj. Close,WIKI/T - Adj. Close,WIKI/ADSK - Adj. Close,WIKI/ADP - Adj. Close,WIKI/AN - Adj. Close,WIKI/AZO - Adj. Close,WIKI/AVB - Adj. Close,WIKI/AVY - Adj. Close,WIKI/BHI - Adj. Close,WIKI/BLL - Adj. Close,WIKI/BAC - Adj. Close,WIKI/BCR - Adj. Close,WIKI/BAX - Adj. Close,WIKI/BBT - Adj. Close,WIKI/BDX - Adj. Close,WIKI/BBBY - Adj. Close,WIKI/BRK_B - Adj. Close,WIKI/BBY - Adj. Close,WIKI/BIIB - Adj. Close,WIKI/BLK - Adj. Close,WIKI/HRB - Adj. Close,WIKI/BA - Adj. Close,WIKI/BWA - Adj. Close,WIKI/BXP - Adj. Close,WIKI/BSX - Adj. Close,WIKI/BMY - Adj. Close,WIKI/AVGO - Adj. Close,WIKI/BF_B - Adj. Close,WIKI/CHRW - Adj. Close,WIKI/CA - Adj. Close
2018-02-12,,57.41,111.93,154.95,68.32,150.49,192.15,109.48,10.27,177.38,181.19,85.13,68.43,159.68,64.93,66.01,111.59,115.43,79.75,162.46,248.29,38.48,90.73,1054.56,1051.94,65.35,1386.23,55.07,50.09,64.8,94.7,59.61,136.23,77.92,155.91,89.45,74.0,174.87,86.41,57.82,85.05,232.77,139.96,38.11,39.27,162.71,49.5,41.27,24.84,66.21,87.52,36.37,108.38,111.65,,730.2,158.75,115.65,,37.53,31.12,,65.0,53.0,218.89,,198.89,70.35,316.63,525.38,25.13,343.8,52.97,115.14,26.18,63.16,244.4,66.24,91.18,34.02
2018-02-13,,57.64,111.86,156.84,68.07,148.87,193.48,106.22,10.32,178.52,181.93,86.07,68.34,159.44,64.49,66.89,108.45,113.97,79.65,158.72,246.26,38.63,92.13,1054.14,1052.1,65.64,1414.51,55.25,50.87,65.58,94.56,59.43,136.31,78.77,156.62,97.77,74.42,175.94,86.88,57.18,84.34,233.45,139.23,37.7,39.28,164.34,49.55,41.34,24.78,66.98,88.32,36.6,109.79,111.82,,711.88,159.4,116.88,,37.76,31.18,,64.63,53.33,215.4,,197.99,70.1,316.99,521.27,25.91,343.16,52.31,116.19,26.11,63.87,245.86,66.88,92.72,34.18
2018-02-14,,58.28,113.08,159.79,69.65,151.67,197.13,109.02,10.27,176.77,189.45,87.65,69.7,161.27,66.87,66.76,111.72,123.2,79.97,166.63,250.05,38.11,95.03,1072.7,1069.7,65.18,1451.05,54.68,51.07,65.3,96.23,59.41,135.48,78.33,160.55,96.4,74.71,179.52,87.34,59.78,85.13,235.02,139.97,38.2,38.7,167.37,51.96,41.82,25.48,68.2,89.64,36.41,109.92,112.71,,720.84,158.92,118.12,,38.12,32.0,,66.03,54.74,219.95,,200.54,72.52,296.08,539.94,26.94,344.85,53.49,115.46,26.81,65.35,247.66,67.34,92.43,34.75
2018-02-15,,59.5,114.9,161.06,71.99,153.49,202.97,108.78,10.52,177.17,190.29,88.42,72.02,163.6,67.4,66.17,114.61,122.71,82.26,164.47,240.65,39.05,94.52,1091.36,1089.52,65.32,1461.76,56.26,51.67,66.68,96.56,59.23,136.22,79.71,159.0,97.6,75.84,183.6,89.14,59.62,85.4,232.06,140.89,38.1,39.37,172.99,53.99,43.2,25.22,69.05,90.07,37.0,113.52,115.51,,724.6,161.1,119.53,,39.12,32.21,,66.44,54.83,222.51,,203.9,73.32,299.38,540.65,27.56,356.46,52.67,117.4,27.09,68.98,251.83,68.81,92.95,35.24
2018-02-16,,60.17,118.6,162.66,70.19,151.14,201.56,107.57,10.45,178.51,191.79,89.65,71.97,163.63,66.89,64.97,112.24,120.47,82.72,164.04,244.68,39.75,95.04,1095.5,1094.8,65.46,1448.69,56.32,51.58,67.26,96.79,59.47,140.02,80.5,159.81,99.4,76.55,183.55,89.99,59.18,86.09,235.02,140.86,38.11,39.69,172.43,55.03,43.13,25.36,68.97,89.92,37.14,112.95,116.18,,714.05,162.57,118.8,,39.62,31.97,,66.33,54.96,222.87,,203.79,73.18,291.87,541.1,28.04,355.04,52.22,119.64,27.2,68.96,248.89,69.58,92.62,35.34
2018-02-20,,59.12,117.98,161.44,70.84,148.81,202.98,105.35,10.4,178.03,187.3,88.92,71.08,162.91,66.77,64.39,114.58,118.85,85.66,160.59,244.57,39.14,93.65,1103.59,1102.46,64.19,1468.35,55.08,51.72,66.37,97.19,60.04,139.24,79.85,158.76,99.94,75.72,182.98,90.36,59.25,88.41,232.22,140.72,38.3,39.11,171.85,56.66,42.57,24.86,69.31,88.58,36.77,114.27,115.41,,713.23,160.42,117.08,,39.21,31.93,,67.04,54.6,219.82,,203.05,71.92,287.45,542.6,27.17,353.35,52.26,119.39,26.83,67.35,249.62,68.31,89.97,35.06
2018-02-21,,58.99,117.91,160.46,70.22,147.58,202.09,114.0,10.23,175.77,189.03,88.88,71.25,160.76,66.32,64.69,113.01,117.1,86.72,159.31,239.59,38.62,93.41,1113.75,1111.34,63.93,1482.92,54.4,52.8,65.58,97.5,60.18,137.44,78.85,159.38,98.57,76.35,182.43,90.42,57.27,88.41,232.03,139.37,37.2,38.0,171.07,56.13,42.12,24.66,68.91,88.26,36.31,112.37,116.1,,719.49,156.02,116.92,,39.14,31.87,,67.05,55.09,218.7,,201.02,70.79,286.1,543.56,26.41,352.37,52.09,115.85,26.77,66.53,248.62,67.72,90.18,34.69
2018-02-22,,58.99,117.56,160.32,69.49,146.3,202.61,110.49,10.3,175.06,186.83,88.53,70.68,162.57,66.28,64.17,113.68,114.59,86.04,159.4,238.82,38.6,92.8,1109.9,1106.63,63.34,1484.76,54.59,52.98,65.68,97.35,59.96,138.98,78.74,158.01,97.12,76.47,182.45,90.23,58.28,88.56,233.68,139.12,34.85,38.28,172.6,56.07,41.76,24.54,68.13,87.84,36.47,112.39,115.43,,716.88,157.12,118.24,,39.55,31.69,,67.43,54.32,218.32,,200.73,71.29,284.81,539.53,26.15,355.92,52.24,118.47,26.48,65.94,249.35,67.91,90.09,34.85
2018-02-23,,59.71,118.75,162.95,72.07,146.56,209.74,116.32,10.49,175.55,190.01,89.57,70.7,164.27,67.36,64.98,118.75,118.93,86.17,162.09,242.09,39.42,94.37,1128.09,1126.79,64.59,1500.0,56.35,53.39,67.37,98.8,60.07,141.87,80.63,160.28,98.42,76.76,186.67,90.83,60.82,90.37,235.24,141.91,36.13,38.88,175.555,57.01,42.57,25.13,68.99,88.56,36.72,115.03,117.65,,725.0,160.01,119.13,,39.73,32.03,,68.36,55.36,220.34,,202.76,73.17,292.78,549.75,26.82,356.66,52.32,120.97,27.2,67.95,253.71,69.55,92.63,35.43
2018-02-26,,60.53,121.54,164.74,73.16,148.49,212.15,114.85,10.45,175.75,194.86,90.76,70.58,165.44,68.6,66.15,110.1,121.33,87.85,165.76,245.66,39.53,95.75,1143.7,1143.75,65.43,1521.95,55.75,55.0,66.97,101.64,59.01,142.74,80.8,162.32,100.58,78.4,188.5,92.41,60.4,92.36,238.22,143.3,35.98,39.01,178.97,58.81,42.17,25.13,69.76,88.44,37.46,116.92,117.9,,735.9,160.15,120.11,,40.08,32.42,,69.14,55.79,225.03,,210.62,72.57,290.01,563.97,26.87,363.48,51.91,121.43,27.62,68.63,252.95,69.06,94.63,35.36
